O*NET-SOC Code,Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-1011.00,Chief Executives,4.5,4.75,4.88,4.88,4.75,0.0,0.25,0.0,3.88,5.38,3.75,5.25,4.75,5.25,3.5,5.25,4.75,1.38,3.88,1.5,4.75,1.0,1.12,4.62,0.0,0.75,3.38,4.25,4.75,5.12,5.0,0.88,4.75,0.5,4.38
11-1011.03,Chief Sustainability Officers,3.88,4.0,4.12,3.88,4.12,0.0,0.25,0.0,3.38,4.0,3.75,3.12,2.62,4.0,3.12,4.0,3.25,1.0,3.12,1.88,4.0,1.12,1.5,4.25,0.0,1.88,3.25,3.88,4.12,4.0,4.0,1.12,3.88,0.0,4.25
11-1021.00,General and Operations Managers,3.75,4.12,3.88,4.0,3.88,0.0,0.0,0.0,3.25,3.88,3.12,3.38,3.25,4.0,2.75,4.12,3.62,1.75,2.38,2.12,3.75,0.62,2.12,4.0,0.0,0.62,3.12,4.0,4.12,3.12,3.25,0.62,3.88,1.0,3.88
11-2011.00,Advertising and Promotions Managers,4.12,4.12,3.88,4.12,4.12,0.0,0.12,0.0,3.0,4.0,3.25,3.62,2.62,3.88,3.25,4.25,3.75,0.0,3.12,0.62,3.88,0.75,1.0,4.0,0.0,0.62,3.25,4.0,4.12,3.12,3.75,0.75,3.88,0.0,3.88
11-2021.00,Marketing Managers,4.12,4.12,3.88,3.75,4.25,0.0,0.0,0.0,3.5,4.0,3.5,3.75,2.75,3.88,3.12,4.25,3.88,0.0,3.62,1.25,4.38,1.25,1.38,4.25,0.0,1.5,3.25,4.0,4.12,3.75,3.75,0.88,3.75,0.0,3.88
11-2022.00,Sales Managers,3.88,4.0,3.88,4.12,4.0,0.0,0.0,0.0,3.62,4.0,3.75,3.62,3.0,4.0,3.25,4.75,3.88,1.25,2.88,1.75,4.38,0.88,1.38,4.0,0.0,0.62,3.88,4.12,4.12,3.75,3.88,0.88,3.88,0.0,4.0
11-3012.00,Administrative Services Managers,3.38,4.0,3.12,3.62,3.88,0.0,0.25,0.0,3.25,3.12,3.25,2.88,2.88,3.75,2.12,3.62,3.25,1.0,2.5,2.25,3.12,0.62,2.12,4.0,0.0,0.0,3.25,3.75,3.88,3.12,3.12,0.75,4.0,1.25,3.75
11-3021.00,Computer and Information Systems Managers,3.88,4.0,3.88,3.88,4.0,0.62,2.0,0.0,3.88,3.75,3.5,3.38,3.12,3.75,3.12,4.38,3.25,1.62,3.38,2.88,3.5,2.62,3.0,4.0,0.75,1.38,3.12,3.75,3.88,3.5,3.88,2.0,3.75,2.5,4.0
11-3031.00,Financial Managers,4.0,4.38,3.88,3.75,4.25,0.0,0.38,0.0,3.38,3.88,3.38,3.62,2.12,4.0,3.62,4.12,3.75,0.12,1.12,1.38,3.75,1.62,1.5,4.38,0.0,0.25,3.62,3.75,4.12,3.25,3.25,0.88,3.75,0.38,3.62
11-3031.01,Treasurers and Controllers,4.25,4.25,4.38,3.62,4.75,0.0,0.0,0.0,3.12,4.62,3.38,5.0,3.0,3.75,4.25,4.5,3.12,0.12,3.12,1.12,3.75,1.0,1.38,4.25,0.0,0.25,2.75,3.62,4.25,4.25,4.25,0.62,4.0,0.0,4.12
